"id","area","pop","crimes/mo"
1,90.0283400809717,4.42954601557416,6.16363636363636
2,399.643724696356,6.2020152150984,7.21515151515151
3,76.1012145748988,16.3819707816252,16.6742424242424
4,145.182186234818,5.97185880029622,9.10909090909091
5,41.3441295546559,7.15881600502682,8.21060606060606
6,2.02024291497976,43.5816969996185,18.5181818181818
7,124.728744939271,8.58607302349588,4.76666666666667
8,233.748987854251,3.2924979241938,4.12424242424242
9,1002.65182186235,2.07621013891071,2.35151515151515
10,3025.06477732794,1,1
11,82.2591093117409,2.02668252507798,2.53636363636364
12,61.0647773279352,9.42712237158053,7.97424242424242
13,1,9.49244855366801,9.85151515151515
14,50.2955465587045,11.1037903099123,10.8575757575758
15,84.1255060728745,13.2268126837369,14.9681818181818
16,45.0688259109312,33.8203810506946,32.5606060606061
17,28.0566801619433,5.43971185565854,3.78484848484848
